"id";"identifier";"city_id";"police_station_id";"location_id";"created_at";"updated_at";"deleted_at"
1;"AL 01 - COAR Fija";2;32;1;"2025-05-05 12:27:54";"2025-05-05 12:27:54";""
2;"AP 01 - Av. San Martin y Amadeo Alagia";3;21;2;"2025-05-05 12:30:28";"2025-05-05 12:30:28";""
3;"BL 01 - San Martin y Esteban Adaro";4;22;3;"2025-05-05 12:33:00";"2025-05-05 12:33:00";""
4;"BL ENTE - Ruta 7 Ingreso a Balde";4;22;4;"2025-05-05 12:34:52";"2025-05-05 12:34:52";""
5;"BZ 01 - Ruta 146 Ingreso a Beazley";5;23;5;"2025-05-05 12:54:24";"2025-05-05 12:54:24";""
6;"CN 01 - Ruiz Transito esq San Martin";6;24;6;"2025-05-05 13:01:05";"2025-05-05 13:01:05";""
7;"CN 02 Av. Beato Gonzalez y Ruta 79";6;24;7;"2025-05-05 13:04:15";"2025-05-05 13:04:15";""
8;"CA 01 - Centro de Salud";7;28;8;"2025-05-05 14:18:44";"2025-05-05 14:18:44";""
9;"CP 361 - Peaje Perilago";8;25;9;"2025-05-05 14:25:30";"2025-05-05 14:25:30";""
10;"DE 01 - Isla de Servicios";9;22;10;"2025-05-05 15:11:48";"2025-05-05 15:11:48";""
11;"Cementerio San José";1;1;11;"2025-05-05 15:14:59";"2025-05-05 15:14:59";""
12;"Pedernera - Sociedad Israelí";1;1;12;"2025-05-05 15:18:02";"2025-05-05 15:18:02";""
13;"Planta Verificadora Lado Este";1;2;13;"2025-05-05 15:20:31";"2025-05-05 16:01:23";""
14;"Planta Verificadora Lado Este 2";1;2;14;"2025-05-05 15:24:49";"2025-05-05 15:24:49";""
15;"Planta Verificador Lado Norte";1;2;15;"2025-05-05 16:04:04";"2025-05-05 16:04:04";""
16;"Planta Verificadora Lado Sur";1;2;16;"2025-05-05 16:25:32";"2025-05-05 16:25:32";""
17;"Planta Verificadora Lado sur 2";1;2;17;"2025-05-05 16:26:50";"2025-05-05 16:26:50";""
18;"Planta Verificadora Lado Norte 2";1;2;18;"2025-05-05 16:27:43";"2025-05-05 16:27:43";""
19;"EDIRO 1 - Estacionamiento Norte";1;19;19;"2025-05-05 16:29:55";"2025-05-05 16:29:55";""
20;"EDIRO 2 - Parada de Taxi Norte";1;19;20;"2025-05-05 16:31:13";"2025-05-05 16:31:13";""
21;"EM 01 - Autopista 25 de Mayo (El Molle)";10;34;21;"2025-05-05 16:40:17";"2025-05-05 16:40:17";""
22;"ET 01 - Estación YPF";11;26;22;"2025-05-05 16:43:28";"2025-05-05 16:46:00";""
23;"ET 02 - Egreso de El Trapiche";11;26;23;"2025-05-05 16:45:37";"2025-05-05 16:45:37";""
24;"ET 03 - Paseo Artesanos";11;26;24;"2025-05-05 16:50:21";"2025-05-05 16:50:21";""
25;"ET 04 - Puente 4";11;26;25;"2025-05-05 16:54:49";"2025-05-05 16:54:49";""
26;"ET 05 - Salida a Río Grande";11;26;26;"2025-05-05 16:56:30";"2025-05-05 16:56:30";""
27;"ET 06 - Ingreso a El Trapiche";11;26;27;"2025-05-05 16:58:05";"2025-05-05 16:58:05";""
28;"ET 07 - Av. San Martín";11;26;28;"2025-05-05 17:06:08";"2025-05-05 17:06:08";""
29;"EV 01 - Rotonda R9 y R20";12;25;29;"2025-05-05 17:11:56";"2025-05-05 17:11:56";""
30;"EV 02 - Balneario";12;25;30;"2025-05-05 17:14:29";"2025-05-05 17:14:29";""
31;"EV 03 - Av Pringles y Esteban Agüero";12;25;31;"2025-05-05 17:16:24";"2025-05-05 17:16:24";""
32;"EV 04 - Cruce Plaza Saludable";12;25;32;"2025-05-05 17:19:25";"2025-05-05 17:19:25";""
33;"EG 01 - Ruta 9 - Acceso Monumento al Sol";13;27;33;"2025-05-05 17:25:17";"2025-05-05 17:25:17";""
34;"EG 02 - Ingreso a EG por Estrechura";13;27;34;"2025-05-05 17:29:14";"2025-05-05 17:29:14";""
35;"EG 03 - Egreso a EG por Estrechura";13;27;35;"2025-05-05 17:36:27";"2025-05-05 17:36:27";""
36;"EG 04 - Ingreso Durazno - Cámara 1";13;27;36;"2025-05-05 17:39:54";"2025-05-05 17:39:54";""
37;"EG 05 - Casa Suiza";13;27;37;"2025-05-05 17:41:00";"2025-05-05 17:41:00";""
38;"JK 51 - Estación de Servicio Esso";14;5;38;"2025-05-05 17:46:33";"2025-05-05 17:46:33";""
39;"JK - 52 - Comisaria 5ta";14;5;39;"2025-05-05 17:48:25";"2025-05-05 17:48:25";""
40;"JK - 53 - Aguada y Mamerto Esquiu";14;5;40;"2025-05-05 17:50:42";"2025-05-05 17:50:42";""
41;"JK - 54 - Iglesia San Roque";14;14;41;"2025-05-05 17:52:02";"2025-05-05 17:52:02";""
42;"JK - 55 - Rotonda (Flay)";14;14;42;"2025-05-05 17:53:22";"2025-05-05 17:53:22";""
43;"JK - 56 - Rotonda Cuchi, Volcán, Potrero";14;14;43;"2025-05-05 17:54:54";"2025-05-05 17:54:54";""
44;"JK - 57 - Hotel Cruz de Piedra";14;14;44;"2025-05-05 17:58:49";"2025-05-05 17:58:49";""
45;"JK - 59 - Rotonda Monumento";14;14;45;"2025-05-05 18:01:17";"2025-05-05 18:01:17";""
46;"JK - 60 - Av. del Chorillero y Fatima";14;5;46;"2025-05-05 18:05:30";"2025-05-05 18:05:30";""
47;"JK - 61 -Rotonda Potrero( RS11)";14;14;47;"2025-05-05 18:08:35";"2025-05-05 18:08:35";""
48;"JK - 62 - Av. del Chorrillero y Concaran";14;5;48;"2025-05-05 18:10:33";"2025-05-05 18:10:33";""
49;"JK - 63 -Salida de Aqua (fija)";14;5;49;"2025-05-05 18:11:49";"2025-05-05 18:11:49";""
50;"JK - 64 - Av. Domingo Perón - frente a la Mega";14;14;50;"2025-05-05 18:14:23";"2025-05-05 18:14:23";""
51;"JK - 65 - Av. Central los Nogales y Virgen del Carmen";14;5;51;"2025-05-05 18:16:29";"2025-05-05 18:16:29";""
52;"JK - 66 - Av. Del Portezuelo";14;14;52;"2025-05-05 18:20:33";"2025-05-05 18:20:33";""
