"id";"cause_name";"created_at";"updated_at";"deleted_at"
1;"AV. DAÑOS A BIENES DEL ESTADO PROVINCIAL - DAÑOS";"2025-05-15 18:04:21";"2025-05-15 18:50:43";""
2;"AV. ROBO";"2025-05-15 18:11:53";"2025-05-15 18:51:03";""
3;"TAREA INVESTIGATIVA";"2025-05-15 18:26:29";"2025-05-15 18:51:33";""
4;"AV. ROBO CALIFICADO EN POBLADO Y EN BANDA POR EL USO DE ARMA DE FUEGO";"2025-05-15 18:32:33";"2025-05-15 18:32:33";""
5;"AV. TENENCIA ILEGAL DE ARMA DE FUEGO DE USO CIVIL";"2025-05-15 18:49:32";"2025-05-15 18:49:32";""
6;"AV. HURTO";"2025-05-15 20:42:25";"2025-05-15 20:42:25";""
7;"AV. HURTO CALIFICADO";"2025-05-15 20:56:07";"2025-05-15 20:56:07";""
8;"AV. ARREBATO";"2025-05-19 11:04:40";"2025-05-19 11:04:40";""
9;"AV. DENUNCIA";"2025-05-19 11:06:17";"2025-05-25 04:25:36";"2025-05-25 04:25:36"
10;"Departamento de Homicidio San Luis";"2025-05-19 11:26:33";"2025-05-19 11:26:56";"2025-05-19 11:26:56"
11;"AV. TENTATIVA DE HOMICIDIO ";"2025-05-19 11:27:29";"2025-05-19 11:28:47";""
12;"AV. SOLICITUD DE PARADERO ";"2025-05-19 11:49:57";"2025-05-19 11:49:57";""
13;"AV. ROBO CALIFICADO POR ESCALAMIENTO";"2025-05-19 12:02:21";"2025-05-19 12:02:21";""
14;"AV. ESTAFA";"2025-05-19 12:25:46";"2025-05-19 12:25:46";""
15;"AV. ROBO CALIFICADO";"2025-05-19 13:20:29";"2025-05-19 13:20:29";""
16;"AV. HURTO CALIFICADO DE VEHÍCULO";"2025-05-22 11:09:01";"2025-05-22 11:09:01";""
17;"AV. HURTO- ROBO EN CONSURSO REAL";"2025-05-22 11:11:00";"2025-05-22 11:11:00";""
18;"AV. ROBO CALIFICADO EN POBLADO Y EL BANDA";"2025-05-22 11:45:27";"2025-05-22 12:03:25";"2025-05-22 12:03:25"
19;"AV. LESIONES - AMENAZAS - RESISTENCIA Y ATENTADO CONTRA LA AUTORIDAD";"2025-05-22 11:58:01";"2025-05-22 11:58:01";""
20;"AV. ROBO CALIFICADO EN POBLADO Y EN BANDA";"2025-05-22 12:10:49";"2025-05-22 12:10:49";""
21;"AV. HURTO - ESTAFA";"2025-05-22 12:13:49";"2025-05-22 12:13:49";""
22;"AV. ROBO DE AUTOMOTOR";"2025-05-22 13:14:29";"2025-05-22 13:14:29";""
23;"AV. ROBO CALIFICADO DE AUTOMOTOR";"2025-05-22 14:32:09";"2025-05-22 14:32:09";""
24;"AV. HURTO DE MOTOVEHICULO";"2025-05-22 14:39:04";"2025-05-22 14:39:04";""
25;"AV. ROBO CALIFICADO POR EL USO DE ARMA DE FUEGO";"2025-05-22 14:42:02";"2025-05-22 14:42:02";""
26;"AV. ROBO CALIFICADO EN POBLADO Y EL BANDA - PRIVACION ILEGITIMA DE LA LIBERTAD";"2025-05-22 14:47:28";"2025-05-22 14:47:28";""
27;"AV. DAÑOS";"2025-05-24 07:41:40";"2025-05-24 07:41:40";""
