"id";"name";"regional_unit_id";"created_at";"updated_at";"deleted_at"
1;"San Luis";1;"";"";""
2;"Leandro Alem";5;"2025-05-05 10:47:34";"2025-05-05 10:47:34";""
3;"Alto Pencoso";1;"2025-05-05 10:49:36";"2025-05-05 10:49:36";""
4;"Balde";1;"2025-05-05 11:00:03";"2025-05-05 11:00:03";""
5;"Beazley";1;"2025-05-05 11:02:49";"2025-05-05 11:02:49";""
6;"Candelaria";5;"2025-05-05 11:05:17";"2025-05-05 11:05:17";""
7;"La Carolina";5;"2025-05-05 11:08:34";"2025-05-05 11:08:34";""
8;"Cruz de Piedra";1;"2025-05-05 11:09:16";"2025-05-05 11:09:16";""
9;"Desaguadero";1;"2025-05-05 11:09:56";"2025-05-05 11:09:56";""
10;"Los Molles - Paraje";1;"2025-05-05 11:11:50";"2025-05-09 14:50:46";""
11;"El Trapiche";5;"2025-05-05 11:18:48";"2025-05-05 11:18:48";""
12;"El Volcán ";1;"2025-05-05 11:20:05";"2025-05-05 11:20:05";""
13;"Estancia Grande";5;"2025-05-05 11:20:27";"2025-05-05 11:20:27";""
14;"Juana Koslay";1;"2025-05-05 11:21:25";"2025-05-05 11:21:25";""
15;"La Cumbre";1;"2025-05-05 11:22:53";"2025-05-05 11:22:53";""
16;"La punta";1;"2025-05-05 11:24:18";"2025-05-05 11:24:18";""
17;"La Toma";1;"2025-05-05 11:24:40";"2025-05-05 11:24:40";""
18;"Los Puquios";1;"2025-05-05 11:25:09";"2025-05-05 11:25:09";""
19;"Lujan";5;"2025-05-05 11:25:40";"2025-05-05 11:25:40";""
20;"Nogolí ";5;"2025-05-05 11:26:11";"2025-05-05 11:26:11";""
21;"Potrero de los Funes";1;"2025-05-05 11:26:55";"2025-05-05 11:26:55";""
22;"Quines";5;"2025-05-05 11:27:29";"2025-05-05 11:27:29";""
23;"Rio Grande";5;"2025-05-05 11:28:53";"2025-05-05 11:28:53";""
24;"Saladillo";1;"2025-05-05 11:29:27";"2025-05-05 11:29:44";""
25;"San Francisco";5;"2025-05-05 11:30:33";"2025-05-05 11:30:33";""
26;"San Gerónimo ";1;"2025-05-05 11:31:23";"2025-05-05 11:31:23";""
27;"Suyuque";1;"2025-05-05 11:31:56";"2025-05-05 11:31:56";""
28;"Villa de la Quebrada";1;"2025-05-05 11:32:19";"2025-05-05 11:32:19";""
29;"Anchorena";4;"2025-05-09 11:55:20";"2025-05-09 14:29:32";""
30;"Arizona";4;"2025-05-09 14:32:07";"2025-05-09 14:32:07";""
31;"Buena Esperanza";4;"2025-05-09 14:34:44";"2025-05-09 14:34:44";""
32;"Carpintería";3;"2025-05-09 14:35:57";"2025-05-09 14:35:57";""
33;"Cerro de Oro";3;"2025-05-09 14:40:15";"2025-05-09 14:40:15";""
34;"Concaran ";3;"2025-05-09 14:41:03";"2025-05-09 14:41:03";""
35;"Cortaderas";3;"2025-05-09 14:43:08";"2025-05-09 14:43:08";""
36;"Fortín El Patria ";4;"2025-05-09 14:44:26";"2025-05-09 14:44:26";""
37;"Fortuna";4;"2025-05-09 14:45:19";"2025-05-09 14:45:19";""
38;"Fraga";2;"2025-05-09 14:46:00";"2025-05-09 14:46:00";""
39;"Juan Jorba";2;"2025-05-09 14:48:23";"2025-05-09 14:48:23";""
40;"Justo Daract ";2;"2025-05-09 14:48:47";"2025-05-09 14:48:47";""
41;"Los Molles";3;"2025-05-09 14:50:26";"2025-05-09 14:50:26";""
42;"Merlo";3;"2025-05-09 14:51:25";"2025-05-09 14:51:25";""
43;"Naschel";3;"2025-05-09 14:52:26";"2025-05-09 14:52:26";""
44;"Nueva Galia";4;"2025-05-09 14:53:01";"2025-05-09 14:53:01";""
45;"Renca";3;"2025-05-09 14:54:18";"2025-05-09 14:54:18";""
46;"San Pablo";3;"2025-05-09 14:54:33";"2025-05-09 14:54:33";""
47;"Santa Rosa";3;"2025-05-09 14:54:52";"2025-05-09 14:54:52";""
48;"Tilisarao ";3;"2025-05-09 14:56:35";"2025-05-09 14:56:35";""
49;"Unión ";4;"2025-05-09 14:58:08";"2025-05-09 14:58:08";""
50;"Villa del Carmen";3;"2025-05-09 15:00:42";"2025-05-09 15:00:42";""
51;"Villa Larca ";3;"2025-05-09 15:02:11";"2025-05-09 15:02:11";""
52;"Villa Mercedes";2;"2025-05-09 15:02:38";"2025-05-09 15:02:38";""
53;"Carpintería ";3;"2025-05-10 09:11:44";"2025-05-10 09:26:06";"2025-05-10 09:26:06"
54;"Santa rosa del Cantantal ";5;"2025-05-19 13:11:42";"2025-05-19 13:11:42";""
55;"La Tranca";5;"2025-05-19 13:13:47";"2025-05-19 13:13:47";""
56;"Lafinur";3;"2025-05-21 20:12:23";"2025-05-21 20:12:23";""
