"id";"address";"latitude";"longitude";"created_at";"updated_at"
1;"Leandro N. Alem, Comisión Municipal de Leandro N. Alem, Ayacucho, San Luis, Argentina";"-32.48567372903023";"-66.05340957641603";"2025-05-05 12:27:54";"2025-05-05 12:27:54"
2;"Alto Pencoso, Comisión Municipal de Alto Pencoso, Juan Martín de Pueyrredón, San Luis, 5724, Argentina";"-33.432605309232116";"-66.926908493042";"2025-05-05 12:30:28";"2025-05-05 12:30:28"
3;"Ruta Provincial 15, Estancia Santa Paolina, Balde, Comisión Municipal de Balde, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.340047603497254";"-66.62417292594911";"2025-05-05 12:33:00";"2025-05-05 12:33:00"
4;"Ruta Provincial 15, Comisión Municipal de Balde, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.37571351707198";"-66.62944078445436";"2025-05-05 12:34:52";"2025-05-05 12:34:52"
5;"RP11, Beazley, Comisión Municipal de Beazley, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.7592943028978";"-66.63705825805665";"2025-05-05 12:54:24";"2025-05-05 12:54:24"
6;"Lafinur, Estación, Candelaria, Municipio de Candelaria, Ayacucho, San Luis, 5713, Argentina";"-32.0618416297651";"-65.82540571689607";"2025-05-05 13:01:05";"2025-05-05 13:01:05"
7;"Candelaria, Municipio de Candelaria, Ayacucho, San Luis, 5713, Argentina";"-32.059373002471155";"-65.81196784973146";"2025-05-05 13:04:15";"2025-05-05 13:04:15"
8;"La Carolina, Comisión Municipal de Carolina, Coronel Pringles, San Luis, Argentina";"-32.81029405546766";"-66.09173834323884";"2025-05-05 14:18:44";"2025-05-05 14:18:44"
9;"Perilago Cruz de Piedra, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.254497472272625";"-66.21260404586793";"2025-05-05 14:25:30";"2025-05-05 14:25:30"
10;"Autopista de las Serranías Puntanas, Municipio de Desaguadero, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.41281563419366";"-67.11856842041017";"2025-05-05 15:11:47";"2025-05-05 15:11:47"
11;"Balcarce, Cuatro Avenidas, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5700, Argentina";"-33.30982768284573";"-66.33819580078126";"2025-05-05 15:14:59";"2025-05-05 15:14:59"
12;"1045, Pedernera, Cuatro Avenidas, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5702JRP, Argentina";"-33.300399182644604";"-66.33892536163331";"2025-05-05 15:18:02";"2025-05-05 15:18:02"
13;"Leandro N. Alem, Pueblo Nuevo, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5700HHW, Argentina";"-33.280386582710165";"-66.32239222526552";"2025-05-05 15:20:31";"2025-05-05 16:04:46"
14;"Leandro N. Alem, Pueblo Nuevo, El Fray, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5700HHW, Argentina";"-33.28047627522425";"-66.32218837738039";"2025-05-05 15:24:49";"2025-05-05 15:24:49"
15;"Dominicos Puntanos Este, El Fray, Pueblo Nuevo, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5700HHW, Argentina";"-33.28103236675461";"-66.32373332977296";"2025-05-05 16:04:03";"2025-05-05 16:04:03"
16;"Germán Ave Lallemant, Pueblo Nuevo, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5700HHW, Argentina";"-33.28026998230405";"-66.32342219352724";"2025-05-05 16:25:32";"2025-05-05 16:25:32"
17;"Germán Ave Lallemant, Pueblo Nuevo, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5700HHW, Argentina";"-33.28030585936867";"-66.32340073585512";"2025-05-05 16:26:49";"2025-05-05 16:26:49"
18;"Germán Ave Lallemant, Pueblo Nuevo, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, D5700HHW, Argentina";"-33.28009059675974";"-66.32345438003541";"2025-05-05 16:27:43";"2025-05-05 16:27:43"
19;"Terminal de Omnibus de San Luis, Doctora María Delia Gatica de Montiveros, Alto Las Lomas, Terrazas del Portezuelo, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, 5702, Argentina";"-33.29442233967484";"-66.29752278327943";"2025-05-05 16:29:54";"2025-05-05 16:29:54"
20;"Terminal de Omnibus de San Luis, Doctora María Delia Gatica de Montiveros, Alto Las Lomas, Terrazas del Portezuelo, San Luis, Municipio de San Luis, Juan Martín de Pueyrredón, San Luis, 5702, Argentina";"-33.294651018620264";"-66.2966698408127";"2025-05-05 16:31:13";"2025-05-05 16:31:13"
21;"Autopista 25 de Mayo, Loteo Sierras Marianas, Comisión Municipal de Villa de la Quebrada, Belgrano, San Luis, Argentina";"-33.09724014373431";"-66.29169702529909";"2025-05-05 16:40:17";"2025-05-05 16:40:17"
22;"Trapiche, El trapiche, Comisión Municipal de El Trapiche, Coronel Pringles, San Luis, Argentina";"-33.116580253807406";"-66.0652542114258";"2025-05-05 16:43:28";"2025-05-05 16:43:28"
23;"Ruta Provincial 9, Trapiche, El trapiche, Comisión Municipal de El Trapiche, Coronel Pringles, San Luis, Argentina";"-33.12427197656449";"-66.06123089790346";"2025-05-05 16:45:37";"2025-05-05 16:45:37"
24;"Avenida San Martín, Trapiche, El trapiche, Comisión Municipal de El Trapiche, Coronel Pringles, San Luis, Argentina";"-33.11040661989473";"-66.06164932250978";"2025-05-05 16:50:21";"2025-05-05 16:50:21"
25;"Ruta Provincial 9, Trapiche, El trapiche, Comisión Municipal de El Trapiche, Coronel Pringles, San Luis, Argentina";"-33.106146829150994";"-66.06315135955812";"2025-05-05 16:54:49";"2025-05-05 16:54:49"
26;"Ruta Provincial 9, El trapiche, Comisión Municipal de El Trapiche, Coronel Pringles, San Luis, Argentina";"-33.09845351927255";"-66.06182098388673";"2025-05-05 16:56:30";"2025-05-05 16:56:30"
27;"Ruta Provincial 9, Trapiche, El trapiche, Comisión Municipal de El Trapiche, Coronel Pringles, San Luis, Argentina";"-33.12509861695482";"-66.06135964393617";"2025-05-05 16:58:05";"2025-05-05 16:58:05"
28;"Avenida San Martín, Trapiche, El trapiche, Comisión Municipal de El Trapiche, Coronel Pringles, San Luis, Argentina";"-33.103073180989256";"-66.06360197067262";"2025-05-05 17:06:08";"2025-05-05 17:06:08"
29;"Ruta Provincial 9, El Volcán, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, 5701, Argentina";"-33.253008121642765";"-66.17460250854494";"2025-05-05 17:11:56";"2025-05-05 17:11:56"
30;"El Volcán, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, 5701, Argentina";"-33.24801950932863";"-66.1791515350342";"2025-05-05 17:14:29";"2025-05-05 17:14:29"
31;"El Volcán, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, Argentina";"-33.251177800559205";"-66.18071794509889";"2025-05-05 17:16:24";"2025-05-05 17:16:24"
32;"San Miguel Arcángel, El Volcán, Comisión Municipal de El Volcán, Juan Martín de Pueyrredón, San Luis, 5700, Argentina";"-33.24687101149177";"-66.19648933410646";"2025-05-05 17:19:25";"2025-05-05 17:19:25"
33;"Ruta Provincial 9, Municipio de Estancia Grande, Coronel Pringles, San Luis, 5701, Argentina";"-33.179082935118565";"-66.10456466674806";"2025-05-05 17:25:17";"2025-05-05 17:32:07"
34;"RP18, Municipio de Estancia Grande, Coronel Pringles, San Luis, 5701, Argentina";"-33.23897468032944";"-66.179838180542";"2025-05-05 17:29:14";"2025-05-05 17:29:14"
35;"RP18, Municipio de Estancia Grande, Coronel Pringles, San Luis, 5701, Argentina";"-33.238920839259656";"-66.17985963821413";"2025-05-05 17:36:27";"2025-05-05 17:36:27"
