"id";"name";"city_id";"created_at";"updated_at";"deleted_at"
1;"Comisaria Seccional 1°";1;"2025-05-05 11:33:31";"2025-05-05 11:33:31";""
2;"Comisaria Seccional 2°";1;"2025-05-05 11:34:08";"2025-05-05 11:34:08";""
3;"Comisaria Seccional 3°";1;"2025-05-05 11:34:37";"2025-05-05 11:34:37";""
4;"Comisaria Seccional 4°";1;"2025-05-05 11:35:30";"2025-05-05 11:35:30";""
5;"Comisaria Seccional 5°";14;"2025-05-05 11:36:10";"2025-05-05 11:36:10";""
6;"Comisaría Seccional 6°";1;"2025-05-05 11:36:35";"2025-05-05 11:36:35";""
7;"Comisaria Seccional 7°";1;"2025-05-05 11:37:05";"2025-05-05 11:37:05";""
8;"Comisaria Dtto 15°";22;"2025-05-05 11:38:18";"2025-05-05 11:38:18";""
9;"Comisaria Dtto 17°";11;"2025-05-05 11:38:50";"2025-05-05 12:06:39";"2025-05-05 12:06:39"
10;"Comisaria Dtto 20°";24;"2025-05-05 11:39:24";"2025-05-05 11:52:22";""
11;"Comisaria Seccional 23°";1;"2025-05-05 11:43:54";"2025-05-05 11:43:54";""
12;"Comisaria Seccional 28°";16;"2025-05-05 11:45:00";"2025-05-05 11:45:00";""
13;"Comisaria Dtto 33°";21;"2025-05-05 11:45:51";"2025-05-05 11:45:51";""
14;"Comisaria Seccional 34°";14;"2025-05-05 11:46:18";"2025-05-05 11:46:18";""
15;"Comisaria Seccional 37°";16;"2025-05-05 11:46:50";"2025-05-05 11:46:50";""
16;"Comisaria Seccional 38°";1;"2025-05-05 11:47:19";"2025-05-05 11:47:19";""
17;"Comisaria Seccional 39°";1;"2025-05-05 11:49:55";"2025-05-05 11:49:55";""
18;"Comisaria Seccional 41°";1;"2025-05-05 11:51:18";"2025-05-05 11:51:18";""
19;"Sub Comisaria 1° - EDIRO";1;"2025-05-05 11:53:54";"2025-05-05 11:53:54";""
20;"Sub Comisaria 2° - Tibiletti";1;"2025-05-05 11:54:50";"2025-05-05 11:54:50";""
21;"Destacamento 8°";3;"2025-05-05 11:56:38";"2025-05-05 11:56:38";""
22;"Comisaria Dtto 48°";4;"2025-05-05 11:57:19";"2025-05-05 11:57:19";""
23;"Comisaria Dtto 46°";5;"2025-05-05 11:58:22";"2025-05-05 11:58:22";""
24;"Comisaria Dtto 32°";6;"2025-05-05 11:59:35";"2025-05-05 11:59:35";""
25;"Comisaria Dtto 47°";12;"2025-05-05 12:01:36";"2025-05-05 12:01:36";""
26;"Comisaria Dtto 17°";11;"2025-05-05 12:04:37";"2025-05-05 12:04:37";""
27;"Comisaria Dtto 1°";13;"2025-05-05 12:05:42";"2025-05-05 12:05:42";""
28;"Destacamento 18°";7;"2025-05-05 12:07:59";"2025-05-05 12:07:59";""
29;"Comisaria Dtto 16°";17;"2025-05-05 12:11:34";"2025-05-05 12:11:34";""
30;"Comisaria Dtto 35°";19;"2025-05-05 12:15:07";"2025-05-05 12:15:07";""
31;"Comisaria Dtto 45°";20;"2025-05-05 12:15:56";"2025-05-05 12:15:56";""
32;"Comisaria Dtto 14°";25;"2025-05-05 12:20:39";"2025-05-05 12:20:39";""
33;"Sub Comisaria 20°";26;"2025-05-05 12:21:58";"2025-05-05 12:21:58";""
34;"Comisaria Dtto 44°";28;"2025-05-05 12:22:43";"2025-05-05 12:22:43";""
35;"Comisaria Distrital 43°";29;"2025-05-09 15:16:21";"2025-05-09 15:16:21";""
36;"Comisaria Dtto 43°";30;"2025-05-09 15:17:25";"2025-05-09 15:17:25";""
37;"Comisaria Dtto 19°";31;"2025-05-09 15:18:42";"2025-05-09 15:18:42";""
38;"Sub. Comisaria 19°";32;"2025-05-09 15:19:35";"2025-05-09 15:19:35";""
39;"Puesto Policial Cerro de Oro";33;"2025-05-09 15:20:51";"2025-05-09 15:20:51";""
40;"Comisaria Dtto 22°";34;"2025-05-09 15:21:56";"2025-05-09 15:21:56";""
41;"Sub. Comisaria 22°";35;"2025-05-09 15:22:50";"2025-05-09 15:22:50";""
42;"Destacamento 23° ";36;"2025-05-09 15:24:33";"2025-05-09 15:24:33";""
43;"Destacamento 28°";37;"2025-05-09 15:25:06";"2025-05-09 15:25:06";""
44;"Comisaria Dtto 49°";38;"2025-05-09 15:26:01";"2025-05-09 15:26:01";""
45;"Destacamento 23°";39;"2025-05-09 15:27:18";"2025-05-09 15:27:18";""
46;"Comisaría Dtto 18°";40;"2025-05-09 15:27:57";"2025-05-09 15:27:57";""
47;"Destacamento 27°";41;"2025-05-09 15:28:42";"2025-05-09 15:28:42";""
48;"Comisaria Seccional 42°";42;"2025-05-09 15:29:55";"2025-05-09 15:29:55";""
49;"Comisaria Seccional 26°";42;"2025-05-09 15:30:43";"2025-05-09 15:30:43";""
50;"Comisaria Dtto 24°";43;"2025-05-09 15:31:40";"2025-05-09 15:31:40";""
51;"Comisaria Dtto 20°";44;"2025-05-09 15:32:36";"2025-05-09 15:32:36";""
52;"Destacamento 33°";45;"2025-05-09 15:33:30";"2025-05-09 15:33:30";""
53;"Comisaria Dtto 23°";48;"2025-05-09 15:34:58";"2025-05-09 15:34:58";""
54;"Comisaria Dtto 25°";47;"2025-05-09 15:35:32";"2025-05-09 15:35:32";""
55;"Comisaria Dtto 21°";49;"2025-05-09 15:36:16";"2025-05-09 15:36:16";""
56;"Destacamento 32° ";50;"2025-05-09 15:37:00";"2025-05-09 15:37:00";""
57;"Sub. Comisaria 16°";51;"2025-05-09 15:37:41";"2025-05-09 15:37:41";""
58;"Comisaria Seccional 8°";52;"2025-05-09 15:38:35";"2025-05-09 15:38:35";""
59;"Comisaria Seccional 10°";52;"2025-05-09 15:38:58";"2025-05-09 15:38:58";""
60;"Comisaria Seccional 11°";52;"2025-05-09 15:39:17";"2025-05-09 15:39:17";""
61;"Comisaria Seccional 12°";52;"2025-05-09 15:39:47";"2025-05-09 15:39:47";""
62;"Comisaria Seccional 29°";52;"2025-05-09 15:40:16";"2025-05-09 15:40:16";""
63;"Comisaria Seccional 30°";52;"2025-05-09 15:40:54";"2025-05-09 15:40:54";""
64;"Comisaria Seccional 31°";52;"2025-05-09 15:41:32";"2025-05-09 15:41:32";""
65;"Comisaria Seccional 36°";52;"2025-05-09 15:42:05";"2025-05-09 15:42:05";""
66;"Comisaria Seccional 40°";52;"2025-05-09 15:42:30";"2025-05-09 15:42:30";""
67;"Sub. Comisaria Seccional 24°";52;"2025-05-09 15:43:50";"2025-05-09 15:43:50";""
68;"Sub Comisaria 19";53;"2025-05-10 09:16:24";"2025-05-10 09:16:24";""
69;"Comisaria Seccional 9°";52;"2025-05-14 21:59:10";"2025-05-14 21:59:10";""
70;"Departamento de Investigaciones - San Luis";1;"2025-05-15 20:30:13";"2025-05-15 20:30:13";""
71;"Departamento de Homicidio - San Luis";1;"2025-05-19 11:30:52";"2025-05-19 11:31:41";""
72;"COMISARIA DE ATENCION A LA NIÑEZ  ADOLESCENCIA Y FAMILIA";1;"2025-05-19 11:48:31";"2025-05-19 11:48:31";""
73;"Destacamento 16°";54;"2025-05-19 13:13:02";"2025-05-19 13:13:02";""
74;"Sub. Comisaría 8°";56;"2025-05-21 20:13:46";"2025-05-21 20:13:46";""
75;"ASUNT0S INTERNOS";1;"2025-05-22 12:27:55";"2025-05-22 12:27:55";""
76;"BRIGADA DG-9";1;"2025-05-24 06:31:51";"2025-05-24 06:31:51";""
77;"MINISTERIO PUBLICO FISCAL";1;"2025-05-25 03:52:32";"2025-05-25 03:52:32";""
78;"DIRECCION GRAL. PROTECCION EJECUTIVA DG9";1;"2025-05-25 05:49:26";"2025-05-25 05:49:26";""
79;"División Lucha Contra El Narcotráfico - SL ";1;"2025-05-25 16:38:28";"2025-05-25 16:38:28";""
80;"PODER JUDICIAL ";1;"2025-05-26 05:44:14";"2025-05-26 05:44:14";""
81;"DIVISIÓN DE ACCIDENTOLOGÍA VIAL";1;"2025-05-27 04:59:44";"2025-05-27 04:59:44";""
82;"DIVISIÓN DELITO ";1;"2025-05-27 05:14:22";"2025-05-27 05:14:22";""
83;"DEPARTAMENTO DE DELITOS";1;"2025-05-27 06:51:11";"2025-05-27 06:51:11";""
84;"Departamento de Investigaciones U.R.O.P II";52;"2025-05-27 07:32:02";"2025-05-27 07:32:02";""
